reactant , product, 67.5, 7.5
reactant , reactant, 78.0, None
reactant , product, 46.0, 0.5
product , reactant, 37.5, 3.0
product , reactant, 53.5, 4.0
reactant , product, 44.5, 3.0
reactant , product, 53.0, 7.0
reactant , product, 42.5, 2.5
reactant , product, 47.5, 0.0
product , reactant, 59.0, 8.0
reactant , reactant, 93.0, None
product , reactant, 70.0, 6.0
product , reactant, 47.0, 7.0
reactant , ts, 117.0, None
reactant , product, 57.0, 5.0
product , reactant, 43.0, 9.0
product , reactant, 52.0, 3.5
product , reactant, 68.0, 4.5
product , reactant, 58.0, 3.5
reactant , product, 45.0, 3.0
product , product, 121.0, None
product , reactant, 57.0, 6.0
product , reactant, 51.5, 7.5
product , reactant, 39.0, 6.0
reactant , product, 37.0, 0.5
product , reactant, 43.5, 0.5
product , reactant, 49.5, 7.0
product , reactant, 40.5, 5.0
product , reactant, 64.0, 5.5
reactant , product, 44.0, 2.5
product , reactant, 39.5, 0.5
reactant , product, 40.0, 0.5
product , ts, 108.0, None
reactant , product, 64.5, 5.0
reactant , reactant, 87.0, None
product , reactant, 31.0, 2.0
reactant , product, 52.0, 3.0
product , reactant, 76.5, 4.0
product , reactant, 85.5, 2.0
product , reactant, 49.5, 5.0
reactant , product, 40.5, 4.5
product , reactant, 48.0, 2.5
reactant , product, 48.5, 6.0
product , reactant, 40.5, 1.5
reactant , product, 49.5, 3.5
reactant , product, 62.0, 4.5
product , reactant, 47.0, 0.0
reactant , product, 58.0, 2.5
product , reactant, 65.0, 13.0
product , reactant, 34.0, 2.0
reactant , product, 75.0, 5.0
product , reactant, 62.0, 12.0
product , reactant, 66.5, 0.5
product , reactant, 37.5, 0.5
reactant , product, 55.5, 3.0
reactant , product, 49.5, 1.5
reactant , product, 44.5, 3.0
reactant , product, 46.5, 6.0
product , reactant, 56.0, 2.5
product , reactant, 67.5, 2.0
reactant , product, 60.5, 5.0
product , reactant, 59.5, 8.5
product , reactant, 78.5, 3.0
product , reactant, 58.5, 4.0
reactant , reactant, 102.0, None
reactant , product, 48.0, 5.0
product , reactant, 49.0, 2.5
product , reactant, 48.0, 1.5
product , reactant, 47.0, 2.0
reactant , product, 48.5, 5.0
product , reactant, 90.0, 5.5
product , reactant, 58.0, 5.0
product , reactant, 77.0, 5.5
product , reactant, 87.5, 8.0
product , reactant, 56.0, 5.5
reactant , product, 45.5, 0.0
reactant , product, 42.5, 2.5
reactant , product, 53.5, 2.0
reactant , product, 45.5, 3.0
reactant , product, 58.0, 8.5
reactant , product, 29.0, 4.5
reactant , product, 45.5, 0.0
product , reactant, 54.0, 2.0
reactant , product, 42.5, 0.5
reactant , product, 53.0, 2.0
product , reactant, 58.5, 4.5
reactant , product, 48.0, 2.5
product , reactant, 81.5, 2.0
reactant , product, 71.0, 2.0
product , reactant, 43.5, 1.0
reactant , product, 62.0, 3.5
product , reactant, 53.0, 2.0
reactant , product, 58.5, 2.5
product , reactant, 55.5, 5.0
reactant , product, 49.0, 1.5
product , reactant, 55.0, 5.0
reactant , ts, 112.5, None
product , reactant, 48.0, 5.0
reactant , product, 33.5, 2.0
reactant , product, 37.5, 3.0
product , reactant, 46.0, 1.0
product , product, 97.0, None
product , reactant, 56.5, 5.0
reactant , product, 53.0, 0.5
reactant , product, 66.0, 10.5
product , reactant, 54.5, 5.5
reactant , product, 41.0, 1.0
reactant , product, 47.0, 1.0
product , reactant, 61.0, 0.0
product , reactant, 57.0, 9.5
reactant , product, 55.0, 1.0
reactant , product, 67.0, 1.5
product , reactant, 46.0, 3.0
product , reactant, 39.5, 3.0
product , product, 91.5, None
reactant , reactant, 105.0, None
product , reactant, 46.0, 3.0
reactant , product, 70.0, 7.5
reactant , product, 56.0, 7.0
product , reactant, 56.5, 4.5
reactant , product, 43.5, 5.0
reactant , product, 89.0, 3.5
reactant , product, 42.0, 0.5
reactant , product, 43.0, 2.0
product , reactant, 47.0, 1.0
reactant , product, 64.0, 6.0
product , reactant, 43.5, 2.5
reactant , product, 69.5, 2.5
reactant , product, 53.5, 3.5
reactant , product, 47.5, 3.5
product , reactant, 51.0, 2.0
product , reactant, 59.0, 3.0
reactant , product, 44.0, 0.5
reactant , product, 59.0, 2.0
reactant , product, 90.0, 4.0
reactant , product, 35.0, 0.5
reactant , product, 93.5, 1.0
product , ts, 102.0, None
reactant , product, 92.5, 10.0
reactant , product, 61.0, 1.5
product , reactant, 49.0, 0.0
reactant , product, 42.0, 6.0
product , reactant, 47.0, 1.0
product , reactant, 58.0, 6.0
reactant , product, 69.5, 1.0
reactant , reactant, 88.0, None
product , reactant, 48.0, 4.0
product , reactant, 45.0, 1.0
product , reactant, 40.0, 3.0
reactant , product, 37.0, 1.5
product , reactant, 54.0, 2.0
reactant , product, 36.0, 3.0
reactant , product, 91.5, 14.5
product , reactant, 71.0, 0.5
reactant , product, 39.5, 3.0
product , reactant, 64.0, 0.5
product , product, 114.0, None
reactant , product, 56.0, 2.0
product , reactant, 46.0, 4.5
reactant , product, 40.0, 4.0
product , reactant, 51.5, 6.5
product , reactant, 43.0, 0.5
reactant , product, 83.0, 9.0
product , reactant, 49.0, 0.0
product , reactant, 41.0, 2.5
product , reactant, 82.5, 8.5
reactant , product, 50.0, 8.0
reactant , product, 59.0, 1.0
reactant , product, 69.0, 4.5
product , reactant, 41.0, 1.0
product , reactant, 52.5, 7.0
product , reactant, 56.0, 0.5
product , reactant, 46.5, 1.0
reactant , product, 48.5, 0.5
reactant , product, 39.0, 0.5
product , reactant, 43.5, 3.0
reactant , product, 58.0, 2.5
product , reactant, 44.0, 2.0
reactant , product, 48.0, 0.5
product , reactant, 74.0, 4.0
reactant , product, 48.0, 1.5
product , reactant, 73.0, 3.0
product , reactant, 58.5, 7.0
reactant , product, 43.0, 2.5
reactant , product, 47.0, 3.5
product , reactant, 62.5, 1.5
product , reactant, 51.5, 2.5
reactant , product, 64.5, 7.0
reactant , product, 49.0, 3.5
reactant , product, 61.5, 1.5
product , reactant, 41.0, 1.5
product , reactant, 42.0, 1.5
reactant , product, 53.0, 5.0
product , reactant, 54.0, 2.0
reactant , product, 90.0, 2.0
product , reactant, 54.5, 2.0
product , reactant, 30.0, 2.5
product , product, 94.5, None
reactant , product, 53.0, 1.0
product , reactant, 64.5, 8.0
reactant , product, 51.0, 2.0
reactant , product, 43.0, 5.0
reactant , product, 55.5, 6.5
reactant , product, 52.5, 1.0
product , reactant, 68.0, 1.5
product , product, 101.0, None
product , reactant, 50.5, 3.5
product , reactant, 36.5, 3.5
reactant , product, 62.5, 2.5
reactant , product, 83.0, 8.0
reactant , product, 38.0, 0.0
reactant , product, 54.5, 3.0
reactant , product, 47.0, 0.0
product , reactant, 73.5, 3.5
product , reactant, 53.0, 8.5
product , reactant, 93.0, 15.5
reactant , product, 36.0, 2.0
product , reactant, 63.0, 3.5
product , reactant, 71.0, 5.5
product , reactant, 57.5, 4.0
product , reactant, 51.5, 6.0
product , reactant, 53.0, 3.0
reactant , product, 54.0, 5.5
product , reactant, 41.5, 0.5
reactant , product, 55.0, 0.5
product , reactant, 69.0, 5.5
product , reactant, 85.0, 6.5
product , reactant, 57.5, 8.5
product , reactant, 51.5, 6.0
product , reactant, 69.0, 3.5
reactant , product, 39.0, 1.0
reactant , product, 69.5, 8.5
product , reactant, 75.0, 13.0
reactant , product, 59.5, 2.5
reactant , product, 56.0, 7.0
reactant , product, 50.5, 0.0
reactant , product, 71.5, 3.5
reactant , product, 58.5, 8.5
reactant , product, 55.0, 5.0
reactant , product, 53.5, 12.0
ts , product, 93.0, None
product , reactant, 81.0, 7.0
product , reactant, 65.5, 1.0
product , reactant, 48.5, 0.0
reactant , product, 95.0, 5.5
reactant , product, 49.5, 2.5
product , reactant, 107.0, 1.0
reactant , product, 55.0, 1.5
reactant , product, 47.5, 3.0
reactant , product, 50.0, 3.0
product , reactant, 34.0, 3.5
product , reactant, 40.5, 3.0
reactant , product, 51.5, 2.5
product , reactant, 46.5, 1.0
product , reactant, 78.5, 5.0
reactant , reactant, 72.0, None
product , reactant, 37.0, 7.5
reactant , product, 102.0, 2.5
reactant , product, 45.0, 0.5
reactant , product, 52.0, 4.0
product , reactant, 57.5, 6.0
reactant , product, 52.5, 6.0
product , reactant, 56.5, 11.5
reactant , product, 44.5, 4.5
product , reactant, 45.5, 6.0
reactant , product, 72.5, 3.5
product , reactant, 45.0, 7.0
product , reactant, 48.0, 3.0
product , reactant, 47.0, 1.0
product , reactant, 57.0, 4.0
product , reactant, 43.5, 2.0
product , reactant, 56.5, 1.5
product , reactant, 66.0, 8.0
product , reactant, 48.5, 3.0
reactant , product, 50.5, 10.0
reactant , product, 67.5, 1.0
product , reactant, 34.0, 0.0
product , reactant, 45.0, 0.5
reactant , product, 46.0, 2.5
product , reactant, 44.5, 3.5
product , reactant, 50.5, 1.5
product , reactant, 52.5, 2.0
product , reactant, 32.5, 1.0
product , reactant, 67.5, 3.0
reactant , product, 56.5, 5.5
reactant , product, 41.5, 5.0
product , reactant, 59.5, 5.5
product , reactant, 55.0, 3.5
reactant , product, 49.5, 8.0
reactant , product, 48.5, 1.0
product , reactant, 51.5, 2.0
reactant , product, 49.0, 2.0
reactant , reactant, 101.0, None
product , reactant, 59.5, 3.5
reactant , product, 66.5, 9.5
product , reactant, 60.0, 9.5
reactant , product, 80.5, 1.0
product , reactant, 52.5, 4.0
reactant , product, 62.0, 3.5
product , reactant, 61.0, 0.5
reactant , product, 38.5, 0.0
reactant , product, 40.0, 0.5
reactant , product, 60.5, 4.0
product , reactant, 74.0, 6.0
product , reactant, 54.5, 0.5
reactant , product, 43.0, 7.0
product , reactant, 47.5, 3.5
reactant , product, 61.0, 4.5
reactant , product, 68.0, 3.5
reactant , product, 45.0, 1.0
product , reactant, 64.5, 6.0
reactant , product, 76.5, 3.0
product , reactant, 47.0, 0.5
reactant , product, 56.0, 3.0
reactant , product, 38.0, 3.0
product , reactant, 46.5, 1.5
reactant , product, 42.5, 2.0
reactant , product, 47.5, 3.0
reactant , product, 36.5, 3.0
product , reactant, 56.0, 7.5
product , reactant, 53.0, 2.5
product , reactant, 52.0, 6.0
reactant , product, 88.5, 5.0
product , reactant, 38.0, 9.0
reactant , product, 41.5, 10.0
reactant , product, 51.5, 5.0
reactant , product, 39.0, 1.5
reactant , product, 76.0, 2.0
product , reactant, 47.5, 5.0
reactant , product, 47.0, 5.0
product , reactant, 85.0, 8.0
reactant , product, 61.0, 3.5
reactant , product, 49.0, 6.0
product , reactant, 49.0, 1.5
reactant , product, 55.5, 5.0
product , reactant, 59.0, 1.0
reactant , product, 59.0, 7.0
reactant , product, 57.0, 3.5
product , reactant, 67.0, 0.0
product , reactant, 67.0, 6.0
reactant , product, 67.0, 3.5
reactant , product, 54.5, 4.5
reactant , product, 59.5, 4.0
product , reactant, 50.0, 0.0
product , reactant, 42.0, 6.5
reactant , product, 64.0, 4.5
reactant , product, 55.5, 6.0
product , reactant, 53.0, 1.0
product , reactant, 45.0, 4.0
product , reactant, 50.5, 4.5
reactant , product, 44.0, 4.0
reactant , product, 40.5, 0.0
reactant , product, 47.5, 4.5
product , reactant, 41.5, 1.5
product , reactant, 52.0, 7.0
reactant , product, 63.0, 5.5
reactant , product, 42.5, 7.0
reactant , product, 41.5, 3.5
product , reactant, 46.0, 2.5
product , reactant, 54.5, 5.0
reactant , product, 64.5, 5.0
reactant , product, 96.0, 1.5
product , reactant, 51.5, 0.5
reactant , product, 54.5, 5.0
reactant , product, 51.0, 4.5
reactant , product, 54.0, 1.0
reactant , product, 63.0, 9.0
reactant , product, 56.5, 9.0
reactant , product, 73.5, 5.5
product , reactant, 51.5, 0.0
product , reactant, 44.5, 0.0
reactant , product, 44.5, 1.5
reactant , product, 62.5, 4.5
product , reactant, 48.0, 1.5
reactant , product, 51.0, 4.5
reactant , product, 77.5, 1.0
product , reactant, 42.5, 1.0
reactant , product, 51.0, 3.5
product , reactant, 41.0, 1.0
product , reactant, 62.0, 8.0
product , reactant, 55.5, 10.0
reactant , product, 55.5, 1.5
reactant , product, 48.5, 7.0
reactant , product, 65.0, 5.0
product , reactant, 46.5, 2.5
product , reactant, 49.5, 2.0
reactant , product, 40.5, 2.5
product , reactant, 48.5, 6.0
product , reactant, 46.0, 2.5
product , reactant, 38.0, 1.5
ts , product, 89.0, None
reactant , product, 55.0, 6.5
reactant , product, 55.5, 10.0
product , product, 76.5, None
product , reactant, 47.0, 0.5
reactant , product, 42.0, 4.5
product , reactant, 61.5, 1.5
reactant , product, 59.5, 8.0
reactant , product, 54.5, 4.0
product , reactant, 45.0, 0.5
product , reactant, 43.0, 1.5
product , reactant, 104.0, 6.5
product , reactant, 55.5, 0.5
reactant , product, 46.0, 0.0
product , reactant, 47.0, 2.5
product , reactant, 44.0, 5.5
product , reactant, 40.5, 4.0
reactant , product, 55.0, 3.5
product , reactant, 51.0, 3.0
product , reactant, 48.0, 4.5
reactant , product, 44.0, 2.0
product , product, 91.0, None
reactant , product, 46.5, 1.0
product , reactant, 92.0, 5.5
product , reactant, 43.0, 3.0
reactant , product, 59.0, 0.5
product , reactant, 53.0, 9.5
product , reactant, 47.0, 11.0
reactant , product, 44.0, 7.0
reactant , product, 66.5, 1.0
reactant , product, 52.5, 0.5
product , reactant, 55.0, 2.5
reactant , product, 42.0, 4.0
reactant , product, 52.5, 0.5
reactant , product, 68.0, 2.0
product , reactant, 52.0, 0.0
product , reactant, 39.5, 3.5
product , reactant, 57.0, 7.5
product , reactant, 64.0, 2.0
product , reactant, 55.0, 2.0
product , reactant, 71.0, 4.0
product , reactant, 101.5, 2.5
product , reactant, 73.5, 2.0
product , product, 104.0, None
product , reactant, 45.0, 6.0
reactant , product, 64.5, 3.5
reactant , product, 97.0, 10.0
reactant , product, 91.5, 9.5
reactant , product, 45.0, 1.0
product , reactant, 74.0, 1.0
reactant , product, 65.0, 2.5
reactant , product, 91.0, 3.5
reactant , product, 48.0, 1.5
product , reactant, 43.5, 2.0
product , reactant, 40.5, 2.0
product , reactant, 70.5, 8.0
reactant , product, 29.0, 1.0
reactant , product, 44.0, 2.0
product , reactant, 49.0, 1.5
product , reactant, 39.5, 9.5
reactant , product, 85.0, 3.0
reactant , reactant, 81.0, None
reactant , product, 50.5, 2.0
reactant , product, 35.5, 3.5
reactant , product, 50.5, 2.0
reactant , product, 93.5, 12.0
product , reactant, 37.5, 0.0
product , reactant, 52.0, 2.0
reactant , product, 66.0, 3.5
product , reactant, 49.5, 6.5
product , reactant, 57.5, 1.0
reactant , reactant, 111.5, None
product , reactant, 87.0, 2.5
product , reactant, 57.5, 8.0
product , reactant, 41.5, 5.0
ts , product, 75.0, None
reactant , product, 55.5, 2.5
reactant , product, 57.5, 2.5
reactant , product, 40.5, 1.0
product , reactant, 44.0, 1.5
reactant , product, 41.5, 1.0
reactant , product, 61.0, 10.5
product , reactant, 76.5, 4.0
reactant , product, 34.5, 2.5
reactant , product, 63.5, 2.0
